heart_rate,spo2,temperature,respiratory_rate,systolic_bp,risk_score_2h,condition_2h,risk_score_6h,condition_6h,risk_score_12h,condition_12h,risk_score_24h,condition_24h
73.5,99.7,36.5,16.2,125.2,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
113.2,97.8,36.1,17.0,104.6,0.0316,No significant risk,0.0421,No significant risk,0.0579,No significant risk,0.0895,Risk of tachycardia
61.5,98.0,36.7,12.4,103.9,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
64.9,78.0,36.4,34.6,97.7,0.0933,Risk of hypoxia,0.1102,Risk of hypoxia,0.1357,Risk of hypoxia,0.1865,Risk of hypoxia
99.5,93.4,37.3,15.1,126.1,0.0087,No significant risk,0.0102,No significant risk,0.0126,No significant risk,0.0173,No significant risk
84.8,92.5,37.6,14.5,97.1,0.0166,No significant risk,0.0195,No significant risk,0.0237,No significant risk,0.0321,Risk of hypoxia
83.6,98.4,36.1,16.1,101.3,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
61.3,96.1,36.5,23.1,93.9,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
57.4,97.5,37.7,13.6,127.9,0.017,No significant risk,0.0206,No significant risk,0.0259,No significant risk,0.0366,No significant risk
104.4,86.1,34.7,8.7,186.1,0.2087,Risk of hypoxia,0.2237,Risk of hypoxia,0.2462,Risk of hypoxia,0.2912,Risk of hypoxia
114.1,82.1,35.4,27.1,186.1,0.2345,Risk of hypoxia,0.2598,Risk of hypoxia,0.2977,Risk of tachycardia,0.3736,Risk of tachycardia
132.5,88.5,33.6,10.7,186.3,0.2923,Risk of tachycardia,0.3296,Risk of tachycardia,0.3856,Risk of tachycardia,0.4976,Risk of tachycardia
50.6,92.6,37.2,10.1,95.5,0.0495,Risk of bradycardia,0.0619,Risk of bradycardia,0.0806,Risk of bradycardia,0.1178,Risk of bradycardia
95.0,95.9,36.1,20.0,100.4,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
98.5,95.9,37.6,19.2,121.9,0.0043,No significant risk,0.0048,No significant risk,0.0056,No significant risk,0.0071,No significant risk
74.7,96.3,36.4,19.8,109.7,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
113.9,91.7,36.5,22.7,131.5,0.0515,No significant risk,0.066,No significant risk,0.0876,Risk of tachycardia,0.1309,Risk of tachycardia
88.9,96.4,36.1,17.2,98.9,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
154.2,94.2,35.6,6.4,190.3,0.271,Risk of tachycardia,0.3159,Risk of tachycardia,0.3834,Risk of tachycardia,0.5184,Risk of tachycardia
112.8,97.8,37.6,14.1,110.0,0.0355,No significant risk,0.0463,No significant risk,0.0625,No significant risk,0.0949,Risk of tachycardia
74.6,78.6,36.9,33.1,159.0,0.1378,Risk of hypoxia,0.1543,Risk of hypoxia,0.1789,Risk of hypoxia,0.2283,Risk of hypoxia
56.3,95.7,38.0,12.0,118.7,0.031,No significant risk,0.0369,No significant risk,0.0456,No significant risk,0.0631,Risk of bradycardia
127.6,89.6,37.9,16.4,104.6,0.1105,Risk of tachycardia,0.1396,Risk of tachycardia,0.1832,Risk of tachycardia,0.2706,Risk of tachycardia
136.3,93.2,39.4,20.8,132.7,0.1638,Risk of tachycardia,0.2021,Risk of tachycardia,0.2597,Risk of tachycardia,0.3748,Risk of tachycardia
116.2,89.7,38.6,31.8,110.6,0.1057,Risk of hypoxia,0.1283,Risk of hypoxia,0.1621,Risk of tachycardia,0.2297,Risk of tachycardia
56.1,95.5,35.6,16.5,120.3,0.0257,No significant risk,0.0307,No significant risk,0.0381,No significant risk,0.053,Risk of bradycardia
83.6,95.2,36.1,18.6,108.0,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
80.9,98.8,36.3,17.0,94.3,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
81.3,97.7,36.8,17.8,138.8,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
71.0,96.8,36.2,16.1,90.1,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
98.5,99.2,36.9,15.3,98.7,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
70.0,97.7,36.9,17.3,104.0,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
127.2,86.6,37.3,18.2,98.4,0.1113,Risk of tachycardia,0.1415,Risk of tachycardia,0.1867,Risk of tachycardia,0.2772,Risk of tachycardia
99.3,92.1,35.8,10.6,87.6,0.0293,Risk of hypotension,0.0327,Risk of hypotension,0.0377,Risk of hypotension,0.0477,Risk of hypoxia
123.0,85.0,33.7,20.3,128.9,0.1705,Risk of hypoxia,0.2036,Risk of tachycardia,0.2531,Risk of tachycardia,0.3522,Risk of tachycardia
77.4,97.0,36.8,17.1,92.3,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
90.7,95.0,37.6,19.2,95.6,0.005,No significant risk,0.0056,No significant risk,0.0064,No significant risk,0.0081,No significant risk
85.7,95.1,36.7,19.5,118.8,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
91.8,94.7,36.9,23.2,110.1,0.0014,No significant risk,0.0016,No significant risk,0.002,No significant risk,0.0028,No significant risk
148.2,79.1,33.5,8.9,67.5,0.3435,Risk of tachycardia,0.403,Risk of tachycardia,0.4921,Risk of tachycardia,0.6705,Risk of tachycardia
87.3,95.4,36.5,18.8,91.2,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
70.2,77.5,37.9,24.2,183.5,0.2183,Risk of hypoxia,0.2374,Risk of hypoxia,0.2659,Risk of hypoxia,0.323,Risk of hypoxia
135.4,80.9,34.2,27.8,173.9,0.293,Risk of tachycardia,0.3389,Risk of tachycardia,0.4078,Risk of tachycardia,0.5457,Risk of tachycardia
86.6,82.8,38.4,15.9,190.7,0.2267,Risk of hypoxia,0.2426,Risk of hypoxia,0.2665,Risk of hypoxia,0.3143,Risk of hypoxia
88.6,90.8,38.3,9.0,186.8,0.168,Risk of hypertension,0.1754,Risk of hypoxia,0.1864,Risk of hypoxia,0.2085,Risk of hypoxia
103.7,93.9,37.7,15.4,85.7,0.0376,Risk of hypotension,0.0426,Risk of hypotension,0.0501,Risk of hypotension,0.0652,Risk of hypotension
46.4,81.7,39.7,33.6,142.4,0.2077,Risk of bradycardia,0.2441,Risk of bradycardia,0.2987,Risk of bradycardia,0.4078,Risk of bradycardia
79.1,93.8,36.3,19.4,133.9,0.0068,No significant risk,0.0081,No significant risk,0.0099,No significant risk,0.0136,No significant risk
133.7,76.9,36.5,7.7,139.2,0.1804,Risk of tachycardia,0.2254,Risk of tachycardia,0.293,Risk of tachycardia,0.4281,Risk of tachycardia
107.7,94.1,35.8,12.0,134.5,0.0288,No significant risk,0.0363,No significant risk,0.0475,No significant risk,0.0699,No significant risk
56.6,92.5,37.3,11.0,138.4,0.027,No significant risk,0.0331,No significant risk,0.0424,No significant risk,0.0608,Risk of bradycardia
45.2,76.8,39.9,16.9,115.0,0.2426,Risk of bradycardia,0.2862,Risk of bradycardia,0.3517,Risk of bradycardia,0.4827,Risk of bradycardia
153.4,95.7,38.3,16.9,76.3,0.2013,Risk of tachycardia,0.2471,Risk of tachycardia,0.3158,Risk of tachycardia,0.4533,Risk of tachycardia
104.8,83.9,39.3,9.2,131.5,0.1377,Risk of hypoxia,0.16,Risk of hypoxia,0.1935,Risk of hypoxia,0.2604,Risk of hypoxia
78.7,95.3,36.2,12.9,122.5,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
107.9,95.2,35.6,14.3,182.3,0.1344,Risk of hypertension,0.1415,Risk of hypertension,0.1522,Risk of hypertension,0.1734,Risk of hypertension
98.5,95.1,37.2,12.3,134.6,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
114.5,92.4,36.9,23.6,119.0,0.049,No significant risk,0.0632,No significant risk,0.0844,Risk of tachycardia,0.127,Risk of tachycardia
95.2,94.7,37.1,18.2,143.6,0.0104,Risk of hypertension,0.0107,Risk of hypertension,0.0111,Risk of hypertension,0.0119,Risk of hypertension
71.2,99.8,37.1,15.6,121.0,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
67.5,97.3,36.5,16.7,93.9,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
158.3,89.7,36.8,15.0,174.9,0.2564,Risk of tachycardia,0.3083,Risk of tachycardia,0.3863,Risk of tachycardia,0.5422,Risk of tachycardia
60.6,97.5,37.6,23.3,132.2,0.002,No significant risk,0.0022,No significant risk,0.0026,No significant risk,0.0032,No significant risk
77.2,97.6,37.7,10.6,86.7,0.0168,Risk of hypotension,0.0175,Risk of hypotension,0.0184,Risk of hypotension,0.0204,Risk of hypotension
102.7,97.9,35.9,18.3,109.8,0.0097,No significant risk,0.0121,No significant risk,0.0157,No significant risk,0.0229,No significant risk
140.3,92.6,36.3,18.0,101.9,0.1098,Risk of tachycardia,0.1444,Risk of tachycardia,0.1963,Risk of tachycardia,0.3001,Risk of tachycardia
94.6,99.1,37.2,20.0,117.8,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
153.1,92.8,34.7,19.1,82.4,0.1975,Risk of tachycardia,0.2447,Risk of tachycardia,0.3154,Risk of tachycardia,0.4569,Risk of tachycardia
110.8,79.8,37.7,23.9,113.4,0.1166,Risk of hypoxia,0.1412,Risk of hypoxia,0.1781,Risk of hypoxia,0.252,Risk of tachycardia
86.9,97.6,36.9,16.2,132.6,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
86.5,97.3,36.5,11.9,86.9,0.0104,Risk of hypotension,0.0104,Risk of hypotension,0.0104,Risk of hypotension,0.0104,Risk of hypotension
112.5,89.8,34.5,10.0,67.0,0.1748,Risk of hypoxia,0.1931,Risk of hypoxia,0.2205,Risk of hypoxia,0.2753,Risk of tachycardia
88.3,94.4,36.6,22.7,107.6,0.0036,No significant risk,0.0042,No significant risk,0.0052,No significant risk,0.0071,No significant risk
100.9,94.4,37.1,22.1,146.7,0.0225,Risk of hypertension,0.0238,Risk of hypertension,0.0259,Risk of hypertension,0.03,Risk of hypertension
97.1,97.5,36.4,15.7,139.0,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
71.4,95.8,36.1,11.1,93.4,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
66.1,95.7,36.8,13.5,107.3,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
94.2,89.0,34.2,11.6,70.5,0.1445,Risk of hypoxia,0.154,Risk of hypoxia,0.1684,Risk of hypoxia,0.1971,Risk of hypoxia
71.1,95.9,36.2,13.0,113.0,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
74.6,97.5,36.9,12.3,130.0,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
55.3,97.2,37.8,10.9,103.0,0.0288,No significant risk,0.035,No significant risk,0.0443,No significant risk,0.0629,Risk of bradycardia
128.5,78.9,34.5,16.7,130.4,0.1971,Risk of tachycardia,0.2391,Risk of tachycardia,0.3021,Risk of tachycardia,0.4282,Risk of tachycardia
74.0,94.8,37.4,10.5,101.4,0.0012,No significant risk,0.0015,No significant risk,0.0018,No significant risk,0.0025,No significant risk
146.9,85.7,36.7,9.1,125.4,0.1635,Risk of tachycardia,0.2102,Risk of tachycardia,0.2804,Risk of tachycardia,0.4207,Risk of tachycardia
65.8,93.6,36.4,10.3,105.9,0.0076,No significant risk,0.009,No significant risk,0.0111,No significant risk,0.0152,No significant risk
73.1,95.6,37.1,16.7,124.0,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
97.3,76.8,36.8,23.0,165.6,0.164,Risk of hypoxia,0.1822,Risk of hypoxia,0.2095,Risk of hypoxia,0.264,Risk of hypoxia
58.3,93.7,36.4,19.0,122.1,0.0137,No significant risk,0.0169,No significant risk,0.0215,No significant risk,0.0309,No significant risk
114.1,95.6,36.1,11.4,94.9,0.0339,No significant risk,0.0452,No significant risk,0.0621,Risk of tachycardia,0.096,Risk of tachycardia
66.4,95.9,36.4,13.4,134.8,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
81.0,97.1,37.2,12.9,109.9,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
143.2,92.2,34.8,11.0,155.3,0.1885,Risk of tachycardia,0.2283,Risk of tachycardia,0.288,Risk of tachycardia,0.4073,Risk of tachycardia
104.6,87.0,35.0,28.3,90.3,0.0821,Risk of hypoxia,0.0958,Risk of hypoxia,0.1164,Risk of hypoxia,0.1577,Risk of hypoxia
77.7,95.0,36.1,11.6,124.7,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
83.2,95.8,36.6,16.3,92.6,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
58.7,92.4,38.0,14.5,137.6,0.0361,No significant risk,0.0419,No significant risk,0.0507,No significant risk,0.0683,Risk of hypoxia
87.3,98.8,36.8,15.8,110.6,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
110.4,97.0,37.9,11.7,132.5,0.0396,No significant risk,0.0496,No significant risk,0.0645,No significant risk,0.0945,Risk of tachycardia
57.7,76.4,38.2,22.7,178.6,0.2323,Risk of hypoxia,0.2562,Risk of hypoxia,0.292,Risk of hypoxia,0.3635,Risk of hypoxia
91.8,96.0,36.3,13.3,130.7,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
84.0,94.2,37.7,15.5,138.1,0.0115,No significant risk,0.0131,No significant risk,0.0155,No significant risk,0.0204,No significant risk
74.5,94.8,36.3,20.5,117.7,0.0012,No significant risk,0.0015,No significant risk,0.0018,No significant risk,0.0025,No significant risk
96.0,96.9,36.7,19.3,121.2,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
97.6,98.1,36.5,13.1,129.7,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
84.7,97.4,37.5,12.1,105.3,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
89.8,95.2,36.7,18.1,133.8,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
103.4,92.7,37.6,11.8,110.8,0.0251,No significant risk,0.0306,No significant risk,0.0388,No significant risk,0.0554,Risk of hypoxia
53.7,79.8,38.1,26.9,151.6,0.1563,Risk of hypoxia,0.1803,Risk of hypoxia,0.2165,Risk of bradycardia,0.2887,Risk of bradycardia
85.3,93.5,36.4,12.5,144.0,0.0183,Risk of hypertension,0.0198,Risk of hypertension,0.022,Risk of hypertension,0.0265,Risk of hypertension
76.1,94.8,37.9,12.1,123.1,0.0143,No significant risk,0.016,No significant risk,0.0185,No significant risk,0.0236,No significant risk
89.7,92.1,37.7,23.0,121.7,0.0223,No significant risk,0.0259,No significant risk,0.0313,No significant risk,0.0421,Risk of hypoxia
110.0,96.2,35.9,18.1,124.4,0.027,No significant risk,0.0352,No significant risk,0.0475,No significant risk,0.0721,Risk of tachycardia
97.9,97.6,37.8,16.3,92.4,0.0111,No significant risk,0.0123,No significant risk,0.0142,No significant risk,0.018,No significant risk
139.9,77.6,39.4,31.2,135.0,0.26,Risk of tachycardia,0.3171,Risk of tachycardia,0.4027,Risk of tachycardia,0.5738,Risk of tachycardia
75.9,92.3,36.3,21.2,85.3,0.0304,Risk of hypotension,0.033,Risk of hypotension,0.037,Risk of hypotension,0.045,Risk of hypoxia
75.9,95.2,37.8,14.8,107.6,0.0106,No significant risk,0.0118,No significant risk,0.0136,No significant risk,0.0172,No significant risk
91.5,79.7,36.2,10.1,88.8,0.088,Risk of hypoxia,0.1033,Risk of hypoxia,0.1262,Risk of hypoxia,0.1721,Risk of hypoxia
77.2,97.5,36.4,18.1,126.1,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
86.5,95.9,37.2,13.2,110.7,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
99.9,97.5,36.8,12.5,127.5,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
95.9,96.0,36.3,12.3,113.6,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
54.3,96.7,36.6,17.3,113.6,0.0222,No significant risk,0.0283,No significant risk,0.0374,Risk of bradycardia,0.0558,Risk of bradycardia
86.4,92.9,36.0,22.1,146.5,0.0288,Risk of hypertension,0.031,Risk of hypertension,0.0342,Risk of hypertension,0.0407,Risk of hypertension
67.6,95.9,36.5,10.4,95.1,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
117.4,75.6,34.6,12.7,155.7,0.2254,Risk of hypoxia,0.2616,Risk of hypoxia,0.316,Risk of tachycardia,0.4246,Risk of tachycardia
64.2,99.0,36.3,17.2,101.9,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
69.7,98.6,37.0,18.6,109.9,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
63.3,93.8,37.7,10.2,90.6,0.0153,No significant risk,0.0175,No significant risk,0.0208,No significant risk,0.0275,No significant risk
61.1,95.9,36.7,15.4,134.6,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
77.7,80.4,35.7,23.1,101.2,0.0889,Risk of hypoxia,0.1042,Risk of hypoxia,0.127,Risk of hypoxia,0.1727,Risk of hypoxia
76.6,95.3,36.6,14.1,146.6,0.0166,Risk of hypertension,0.0166,Risk of hypertension,0.0166,Risk of hypertension,0.0166,Risk of hypertension
52.5,93.2,36.4,31.9,173.0,0.1211,Risk of hypertension,0.1308,Risk of bradycardia,0.1455,Risk of bradycardia,0.1747,Risk of bradycardia
51.5,93.6,36.9,18.9,101.8,0.0407,No significant risk,0.0511,Risk of bradycardia,0.0669,Risk of bradycardia,0.0984,Risk of bradycardia
93.4,99.9,36.7,13.4,103.6,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
96.6,95.6,36.7,14.2,117.7,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
103.9,93.2,35.5,11.9,143.5,0.0402,Risk of hypertension,0.046,Risk of hypertension,0.0548,Risk of hypertension,0.0724,Risk of hypertension
109.7,87.6,37.7,11.1,188.4,0.1905,Risk of hypoxia,0.2062,Risk of hypoxia,0.2298,Risk of hypoxia,0.2771,Risk of tachycardia
74.9,95.1,35.6,12.3,133.0,0.0099,No significant risk,0.0107,No significant risk,0.0119,No significant risk,0.0142,No significant risk
84.1,96.2,36.5,14.3,107.8,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
72.1,86.9,36.3,25.2,191.5,0.1733,Risk of hypoxia,0.1814,Risk of hypoxia,0.1935,Risk of hypoxia,0.2178,Risk of hypoxia
61.9,75.7,34.8,23.3,71.9,0.1969,Risk of hypoxia,0.2185,Risk of hypoxia,0.251,Risk of hypoxia,0.3161,Risk of hypoxia
88.8,94.0,37.4,11.5,89.9,0.0059,Risk of hypotension,0.0069,Risk of hypotension,0.0083,Risk of hypotension,0.0113,Risk of hypotension
96.9,89.5,36.0,13.1,175.6,0.1194,Risk of hypoxia,0.125,Risk of hypoxia,0.1333,Risk of hypoxia,0.1499,Risk of hypoxia
121.8,80.7,37.1,16.5,77.4,0.1731,Risk of hypoxia,0.2049,Risk of tachycardia,0.2525,Risk of tachycardia,0.3477,Risk of tachycardia
52.1,95.0,36.1,11.4,138.2,0.0308,No significant risk,0.0393,Risk of bradycardia,0.052,Risk of bradycardia,0.0774,Risk of bradycardia
126.5,91.9,37.6,26.1,179.6,0.1836,Risk of tachycardia,0.2083,Risk of tachycardia,0.2454,Risk of tachycardia,0.3196,Risk of tachycardia
79.6,96.1,37.2,19.6,92.0,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
150.7,78.8,37.0,32.5,69.6,0.2788,Risk of tachycardia,0.3355,Risk of tachycardia,0.4206,Risk of tachycardia,0.5908,Risk of tachycardia
69.3,97.5,37.9,23.2,115.8,0.0151,No significant risk,0.0168,No significant risk,0.0194,No significant risk,0.0245,No significant risk
140.6,81.7,38.8,7.1,145.5,0.2303,Risk of tachycardia,0.2812,Risk of tachycardia,0.3577,Risk of tachycardia,0.5106,Risk of tachycardia
64.8,95.4,36.9,14.7,126.2,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
72.6,97.7,37.0,14.6,121.3,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
112.0,79.9,33.2,31.2,67.9,0.2592,Risk of hypoxia,0.2895,Risk of hypoxia,0.3351,Risk of hypoxia,0.4261,Risk of tachycardia
101.1,94.7,38.6,34.9,112.3,0.0428,Possible fever development,0.0483,Possible fever development,0.0566,Possible fever development,0.0733,Possible fever development
85.2,85.1,37.4,31.3,197.9,0.1992,Risk of hypoxia,0.2091,Risk of hypoxia,0.224,Risk of hypoxia,0.2538,Risk of hypoxia
87.2,83.8,38.2,12.9,79.9,0.1184,Risk of hypoxia,0.1322,Risk of hypoxia,0.1529,Risk of hypoxia,0.1943,Risk of hypoxia
68.7,93.8,36.1,10.6,86.2,0.0195,Risk of hypotension,0.0207,Risk of hypotension,0.0226,Risk of hypotension,0.0262,Risk of hypotension
88.5,83.1,37.8,12.3,193.2,0.2078,Risk of hypoxia,0.2208,Risk of hypoxia,0.2402,Risk of hypoxia,0.2791,Risk of hypoxia
46.2,83.8,39.2,33.4,128.1,0.1737,Risk of bradycardia,0.2062,Risk of bradycardia,0.2551,Risk of bradycardia,0.3529,Risk of bradycardia
60.9,97.9,36.1,23.2,127.2,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
83.3,93.4,35.9,13.1,97.1,0.0104,No significant risk,0.0121,No significant risk,0.0147,No significant risk,0.0199,No significant risk
78.8,76.2,39.8,31.6,190.2,0.3096,Risk of hypoxia,0.3375,Risk of hypoxia,0.3794,Risk of hypoxia,0.4632,Risk of hypoxia
56.7,83.3,38.3,26.2,85.8,0.1195,Risk of hypoxia,0.1379,Risk of hypoxia,0.1654,Risk of hypoxia,0.2206,Risk of hypoxia
63.1,79.7,36.8,23.2,143.3,0.0924,Risk of hypoxia,0.1077,Risk of hypoxia,0.1307,Risk of hypoxia,0.1766,Risk of hypoxia
95.1,96.3,36.2,19.1,137.8,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
136.2,88.8,36.9,8.5,120.1,0.1212,Risk of tachycardia,0.1564,Risk of tachycardia,0.2092,Risk of tachycardia,0.3147,Risk of tachycardia
66.9,96.3,36.7,11.1,99.3,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
54.9,97.1,36.7,16.7,123.5,0.0195,No significant risk,0.0249,No significant risk,0.033,No significant risk,0.0492,Risk of bradycardia
78.5,89.2,37.0,13.7,183.6,0.1407,Risk of hypoxia,0.1465,Risk of hypoxia,0.1551,Risk of hypoxia,0.1724,Risk of hypoxia
117.3,92.9,39.1,26.5,178.0,0.2038,Possible fever development,0.2261,Possible fever development,0.2595,Risk of tachycardia,0.3263,Risk of tachycardia
94.2,95.7,37.4,12.2,142.3,0.0056,Risk of hypertension,0.0056,Risk of hypertension,0.0056,Risk of hypertension,0.0056,Risk of hypertension
38.7,92.3,33.9,15.7,165.4,0.2151,Risk of bradycardia,0.2447,Risk of bradycardia,0.2892,Risk of bradycardia,0.378,Risk of bradycardia
92.7,99.2,36.7,12.1,104.4,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk,0.0,No significant risk
113.8,95.8,36.1,18.9,120.1,0.0331,No significant risk,0.0441,No significant risk,0.0606,Risk of tachycardia,0.0937,Risk of tachycardia
48.4,91.0,36.8,33.9,111.2,0.0671,Risk of bradycardia,0.0835,Risk of bradycardia,0.1081,Risk of bradycardia,0.1574,Risk of bradycardia
110.6,92.6,37.8,19.6,89.4,0.0526,Risk of hypotension,0.0648,Risk of hypotension,0.0832,Risk of hypotension,0.1198,Risk of tachycardia
96.0,92.4,37.0,14.8,125.4,0.0143,No significant risk,0.0169,No significant risk,0.0208,No significant risk,0.0286,Risk of hypoxia
