heart_rate,spo2,temperature,respiratory_rate,systolic_bp,sleep_hours,stress_level,activity_level,risk_level
83.0,95.7,36.6,13.4,115.4,7.8,1.5,4.8,low
100.6,98.5,37.6,24.4,150.2,2.6,9.9,3.2,critical
117.7,96.6,36.3,20.9,118.1,6.1,3.5,9.3,moderate
86.1,98.2,36.8,18.5,147.0,7.7,8.4,1.4,low
99.5,98.5,36.4,13.4,107.9,7.2,3.6,8.8,low
63.0,96.8,36.5,19.4,130.7,6.6,3.0,7.5,low
95.1,92.8,37.2,21.8,115.0,8.2,1.2,9.4,moderate
87.3,96.8,36.1,17.8,140.1,8.2,5.3,8.9,low
88.7,95.9,36.1,17.1,124.5,10.8,3.4,8.2,low
103.7,98.9,36.0,19.8,123.5,4.3,7.2,7.2,high
74.0,98.3,36.7,17.7,111.5,11.1,5.8,4.0,low
98.4,98.2,36.8,18.4,129.7,7.1,6.1,0.2,low
66.5,94.8,36.5,16.9,133.1,8.1,4.2,7.4,low
85.7,95.8,37.0,9.0,117.2,7.9,4.0,0.5,low
93.2,96.5,36.1,17.6,131.0,5.5,7.4,4.5,moderate
103.0,92.2,36.1,21.8,110.4,7.0,4.2,9.1,moderate
73.5,97.0,36.6,16.6,118.4,12.0,5.0,6.0,low
103.5,94.8,37.3,8.5,98.9,4.1,1.9,0.4,moderate
62.6,94.2,36.2,12.7,141.0,7.6,1.6,1.8,low
83.6,97.0,36.2,15.5,132.2,2.3,1.6,7.2,low
85.0,96.5,36.6,20.3,139.4,3.8,6.5,2.4,moderate
68.4,95.1,35.8,21.3,105.1,10.3,4.0,6.7,low
71.4,94.4,37.6,10.7,145.8,5.8,5.9,2.7,low
112.4,96.6,36.9,25.8,173.0,4.9,9.5,7.6,critical
93.8,96.4,36.8,17.3,112.3,4.6,1.4,8.3,low
87.9,98.1,38.0,23.7,150.5,2.2,9.1,1.2,critical
104.9,96.5,37.1,26.4,143.7,2.1,1.4,9.0,moderate
103.3,92.3,36.8,21.4,132.6,3.8,9.1,4.2,critical
80.8,95.0,37.1,13.2,151.6,5.9,2.9,3.6,moderate
105.5,93.8,37.0,19.0,125.9,8.6,9.4,7.3,moderate
84.9,96.9,37.5,14.1,141.7,9.7,1.1,0.8,low
89.6,98.4,36.0,24.9,125.5,4.5,8.2,8.0,moderate
94.0,98.0,37.5,22.9,147.9,7.4,8.7,7.3,moderate
84.7,97.3,36.8,15.6,135.6,4.5,4.9,2.2,low
84.5,96.5,36.4,17.3,116.3,10.4,3.2,8.3,low
88.9,97.3,37.0,13.3,132.9,2.8,7.0,3.4,moderate
104.7,97.2,37.5,18.3,160.1,8.3,8.9,6.2,high
78.5,92.6,36.3,23.1,124.0,6.8,6.3,8.7,moderate
67.3,96.9,36.7,20.7,108.5,4.9,3.0,2.3,low
105.2,94.9,38.2,20.6,164.3,4.2,9.5,7.9,critical
91.2,95.8,36.3,14.1,134.3,7.1,2.3,1.8,low
116.7,93.7,37.5,28.7,162.0,2.6,9.7,8.8,critical
73.5,100.0,37.5,14.5,118.4,4.2,2.2,5.4,low
116.2,98.4,36.6,24.1,126.4,10.9,9.6,8.6,high
74.8,96.0,36.9,18.4,149.3,4.6,7.2,5.0,moderate
102.8,94.1,35.9,20.8,128.4,6.8,5.9,8.2,moderate
109.0,97.8,37.2,26.1,155.1,8.6,8.5,8.7,high
83.9,95.3,36.5,20.0,140.2,8.2,7.5,1.6,low
79.0,97.4,36.6,11.9,129.0,7.1,0.1,2.9,low
86.1,95.8,36.9,18.1,136.9,8.3,5.4,7.8,low
79.6,94.9,36.7,24.0,107.7,11.3,1.0,9.4,low
81.3,97.3,36.9,16.4,132.7,2.7,5.8,3.5,moderate
63.8,94.1,35.7,19.2,125.0,9.7,6.8,4.5,low
86.2,99.6,36.5,12.6,118.6,8.9,2.2,0.8,low
81.3,96.9,36.7,15.3,124.2,8.4,4.0,2.7,low
87.1,96.3,36.9,16.3,126.7,4.1,0.3,6.5,low
97.8,97.6,37.5,22.2,144.8,9.8,7.7,8.4,moderate
78.7,95.5,35.9,15.1,111.1,10.0,4.8,1.2,low
82.7,95.6,35.7,16.6,90.9,7.8,2.7,8.0,low
78.7,98.0,36.6,14.3,116.8,8.0,2.9,6.9,low
71.0,100.0,37.0,15.3,120.3,11.9,1.4,5.0,low
73.2,96.8,36.5,14.0,123.4,5.3,5.2,0.9,low
79.4,99.8,37.4,19.2,130.3,8.9,8.0,2.0,low
88.9,99.1,37.0,22.8,139.9,9.1,8.7,7.1,moderate
92.0,95.5,36.4,15.9,126.7,8.4,5.3,7.3,low
81.2,99.3,38.1,15.7,108.8,11.8,3.4,1.8,low
106.3,98.2,36.6,20.0,128.5,12.0,9.7,6.5,moderate
71.1,95.0,36.0,25.1,132.4,10.7,7.3,7.4,moderate
112.8,98.3,36.2,24.4,160.6,10.7,9.0,4.2,high
79.5,96.3,35.8,16.2,118.1,9.3,1.3,7.2,low
85.6,96.3,36.0,12.1,133.9,7.1,3.6,5.9,low
81.0,95.1,35.6,22.2,116.9,9.7,1.3,9.7,low
95.3,96.3,36.5,16.6,154.0,4.5,6.2,7.1,moderate
87.3,97.8,36.7,17.4,138.9,10.4,8.1,5.9,low
68.1,98.5,36.6,16.2,96.0,11.4,0.4,1.2,low
107.1,96.5,36.5,26.3,105.1,2.4,1.5,9.9,moderate
104.4,99.2,36.1,17.8,107.4,8.7,1.4,0.3,low
85.7,96.7,36.9,13.2,119.6,11.7,0.9,6.7,low
113.5,99.2,37.6,21.6,128.4,8.2,8.7,5.7,moderate
92.6,96.5,36.9,21.8,135.8,5.9,6.5,1.1,low
78.6,98.2,37.0,15.1,136.5,6.0,3.3,6.7,low
62.2,93.7,36.2,20.7,101.4,10.2,1.2,5.4,low
72.0,100.0,37.1,13.9,147.0,5.7,2.3,0.7,low
88.6,97.0,36.4,15.0,159.1,5.8,8.6,5.2,moderate
67.3,97.9,37.1,20.7,129.8,7.3,6.1,7.6,low
96.2,98.1,37.0,17.7,137.4,4.4,9.3,0.6,moderate
80.3,98.8,36.1,16.1,149.5,5.1,8.0,5.4,moderate
65.3,98.1,37.5,16.7,121.9,6.1,1.2,1.8,low
90.1,97.4,37.7,21.2,144.4,4.6,9.6,4.8,moderate
86.8,97.2,37.0,15.5,139.9,11.5,6.0,8.2,low
72.0,95.6,37.0,15.1,135.0,11.0,3.5,2.4,low
97.2,94.5,36.9,13.8,115.8,8.7,1.0,6.2,low
85.7,98.9,37.7,15.3,111.7,3.0,0.2,6.4,low
102.2,94.0,35.9,16.0,131.7,7.9,5.0,9.9,low
86.0,98.1,37.4,14.9,117.6,11.9,1.3,1.0,low
90.1,95.6,36.7,20.4,143.1,2.9,8.9,1.9,moderate
75.3,97.7,37.0,10.0,124.5,10.0,2.3,5.4,low
114.0,99.4,36.6,28.8,131.3,5.3,6.7,9.9,high
68.2,97.3,35.9,15.7,109.2,11.6,1.8,6.9,low
69.7,94.2,36.6,18.3,120.9,9.6,3.5,6.6,low
91.7,97.0,36.5,19.2,131.5,8.2,0.9,7.6,low
75.9,96.5,36.6,19.4,120.4,2.4,3.0,2.6,low
64.0,97.0,37.1,17.3,124.8,6.5,6.0,5.2,low
113.0,97.4,36.7,22.4,128.4,5.8,8.8,8.7,high
93.5,97.8,36.8,21.4,129.8,8.9,3.5,9.8,low
63.0,97.1,36.7,15.7,142.0,8.1,7.6,1.7,low
75.5,95.1,36.5,12.4,127.2,6.3,3.1,5.1,low
75.6,96.9,36.5,16.3,124.6,8.2,6.5,1.5,low
83.5,97.3,36.8,20.2,153.8,3.0,6.9,0.6,high
70.8,96.6,36.7,20.2,121.3,5.1,6.2,5.3,low
82.4,95.7,35.6,18.3,144.4,6.1,8.3,7.3,low
65.1,96.9,35.6,22.2,105.7,7.4,2.2,0.1,low
86.5,94.3,36.0,22.8,131.7,5.2,7.4,4.8,moderate
116.1,94.3,36.3,21.1,146.3,10.9,9.6,7.9,moderate
107.8,98.6,37.5,21.6,120.5,8.4,6.6,9.0,moderate
89.1,97.2,37.0,17.8,130.6,3.5,7.4,5.1,moderate
94.1,94.5,36.9,21.1,128.8,5.0,3.5,7.7,low
82.1,99.6,36.0,14.7,124.8,4.7,0.2,0.8,low
72.9,95.7,37.2,17.6,131.9,9.7,6.4,5.3,low
87.8,97.2,37.1,20.1,127.7,7.8,7.5,8.1,low
62.2,96.6,36.5,16.9,129.8,6.3,4.4,6.1,low
112.5,94.6,37.5,22.0,150.2,4.9,8.2,8.6,critical
82.3,97.8,36.3,14.4,127.0,8.6,1.8,5.5,low
117.7,99.0,36.0,20.3,162.2,7.1,8.4,7.3,high
92.9,96.4,36.1,18.0,118.0,10.7,6.4,7.6,low
82.2,99.9,36.3,12.7,123.3,10.0,2.0,5.6,low
111.4,95.4,37.2,19.7,152.5,2.1,7.6,0.4,critical
66.8,92.8,36.9,17.0,99.6,5.3,1.5,3.1,moderate
99.4,93.9,37.4,16.3,162.4,6.1,7.0,0.0,moderate
93.6,100.0,37.4,18.9,112.5,8.4,0.6,5.8,low
83.3,96.7,36.4,18.1,131.5,10.3,5.0,0.8,low
71.5,95.2,36.2,15.8,126.8,9.9,5.2,4.4,low
104.9,93.8,38.0,29.3,156.9,9.4,10.0,9.3,critical
103.6,92.4,36.0,20.8,110.3,3.2,4.1,8.4,high
82.0,96.6,35.7,21.0,129.2,2.3,0.2,8.3,low
86.4,96.9,36.5,23.8,108.3,4.6,4.3,8.7,low
92.5,100.0,36.6,17.6,148.1,2.8,7.3,5.0,moderate
82.6,97.0,36.1,14.4,124.3,8.1,1.4,7.5,low
79.1,99.7,36.5,17.4,113.1,4.5,2.7,7.6,low
100.5,93.7,35.7,18.4,133.6,2.3,0.6,9.1,moderate
97.7,93.9,36.8,22.8,131.2,7.6,9.4,0.5,moderate
82.1,97.7,36.3,16.2,122.9,4.0,5.7,4.6,moderate
88.6,95.0,37.0,21.0,151.3,4.5,8.5,5.6,high
91.5,95.3,36.2,19.1,136.4,2.7,7.1,5.4,moderate
102.6,97.0,36.4,17.0,145.6,6.1,6.5,5.5,moderate
89.7,96.0,37.5,17.8,129.7,2.5,7.9,2.0,moderate
108.6,95.6,36.2,25.9,141.8,10.8,8.8,8.7,high
85.4,98.0,37.3,14.3,98.0,7.4,5.0,1.1,low
80.9,96.1,37.3,17.0,134.9,9.9,5.8,6.3,low
104.9,95.7,36.7,22.0,130.9,3.6,7.0,7.9,high
77.6,100.0,36.2,17.6,146.2,10.9,6.5,1.5,low
109.2,98.4,36.0,20.9,120.4,11.7,4.2,9.8,low
98.5,96.4,36.6,23.0,129.6,7.3,7.2,8.9,moderate
74.8,93.0,36.6,20.5,121.4,10.2,5.4,7.1,low
52.6,98.7,36.9,15.3,115.6,10.3,3.4,1.7,low
87.4,99.5,35.8,20.5,125.1,3.4,3.5,4.5,low
94.0,94.6,37.3,15.9,130.5,11.8,6.3,1.3,low
91.4,98.6,37.6,23.2,123.1,3.7,8.6,2.3,high
78.9,98.0,36.7,17.5,129.4,4.1,0.3,3.0,low
86.0,98.3,36.3,18.1,109.4,9.9,6.6,2.6,low
54.6,95.9,36.6,17.5,125.1,10.6,5.5,3.8,moderate
95.5,97.6,37.4,18.1,150.2,4.8,8.6,2.9,high
86.9,96.6,36.6,18.9,136.1,3.1,7.0,5.4,moderate
90.4,95.3,36.9,19.7,136.7,5.0,6.0,3.0,low
80.6,97.1,37.2,13.8,127.4,3.9,0.8,2.4,low
108.2,100.0,36.1,19.1,170.5,2.9,9.1,6.7,critical
91.1,100.0,37.6,24.8,152.5,8.0,8.9,4.4,moderate
74.9,92.2,36.8,16.9,141.0,4.4,5.1,1.0,moderate
87.8,95.5,36.1,15.5,127.6,7.1,6.3,0.7,low
99.3,91.5,36.8,18.5,115.7,3.4,2.8,9.7,moderate
68.3,96.4,36.2,17.0,136.1,7.2,0.1,0.1,low
85.7,95.5,36.2,21.4,121.2,7.1,2.9,9.3,low
53.6,95.6,35.8,10.6,101.0,10.7,4.9,7.0,low
94.9,95.9,36.9,16.3,124.3,11.1,7.1,6.1,low
78.4,96.6,36.1,15.6,120.9,5.8,4.6,3.7,low
113.2,98.1,37.2,16.7,131.3,2.8,3.5,9.4,moderate
93.8,94.7,36.9,18.1,130.9,10.7,7.2,1.2,low
55.6,98.5,37.0,19.9,125.9,5.0,4.9,5.8,low
92.1,99.0,36.4,21.9,127.4,6.3,6.7,2.8,low
92.0,94.5,36.0,27.4,160.5,10.2,8.6,9.2,moderate
82.8,94.8,36.5,15.1,129.4,8.9,3.7,1.7,low
65.2,99.4,36.5,14.6,139.1,3.5,0.3,6.5,low
63.2,96.9,36.7,13.6,125.1,8.1,3.6,2.2,low
74.0,97.8,36.1,14.9,98.4,6.9,0.3,5.1,low
91.9,97.1,36.4,24.6,124.4,11.0,1.2,9.6,low
80.5,92.7,36.9,15.1,122.2,11.8,2.9,9.6,moderate
87.0,92.7,36.6,18.9,128.3,7.4,7.6,8.3,moderate
82.9,98.0,37.1,11.7,127.6,2.6,3.4,2.7,low
63.9,99.2,37.6,12.3,126.0,8.3,4.9,4.0,low
59.8,97.5,36.7,21.3,115.7,6.0,0.4,4.8,low
92.0,96.9,36.6,22.9,119.4,9.9,2.8,8.8,low
81.4,95.5,36.7,8.7,152.6,7.9,3.8,2.9,moderate
96.3,98.0,37.4,22.5,149.9,10.7,9.8,4.1,moderate
102.0,95.8,36.5,22.6,152.0,4.0,1.1,8.5,high
76.9,99.2,37.1,13.7,124.9,11.3,0.2,4.8,low
74.4,95.1,36.3,20.7,126.2,5.0,3.6,8.0,low
105.1,99.0,37.2,21.8,154.3,3.4,7.5,7.7,critical
64.9,93.7,36.5,15.4,129.7,2.9,4.9,0.8,low
94.1,91.9,36.7,21.1,110.2,11.5,0.7,9.6,moderate
83.7,95.6,36.3,15.8,142.9,9.9,7.1,0.5,low
85.2,95.4,35.6,22.0,105.1,11.3,4.1,9.1,low
71.6,97.7,36.7,20.0,152.5,11.8,6.0,3.6,moderate
62.1,98.6,36.1,17.4,126.1,8.2,0.7,6.8,low
68.6,98.8,35.7,16.1,125.2,7.5,5.2,1.4,low
85.3,97.0,36.8,18.7,146.6,2.5,7.5,3.2,moderate
66.4,99.3,36.5,13.7,128.7,10.4,0.0,2.5,low
99.9,97.7,36.8,23.9,136.1,5.1,7.9,8.9,moderate
106.4,94.3,37.0,16.5,141.9,2.9,6.9,4.9,high
98.4,95.8,36.9,22.4,161.5,9.6,9.5,7.0,moderate
74.8,95.7,35.9,21.8,113.2,2.5,3.6,9.6,low
81.6,97.7,37.0,21.8,132.3,2.5,7.7,4.2,moderate
103.7,100.0,36.6,18.5,158.1,6.7,8.8,2.2,high
90.3,95.2,37.1,16.5,135.9,5.2,6.4,4.0,low
57.6,97.2,35.8,12.6,117.4,5.7,0.6,1.1,low
50.2,97.0,36.5,16.4,128.4,6.0,5.3,6.0,moderate
82.1,99.7,36.5,18.1,131.8,8.8,3.1,7.7,low
67.6,97.3,36.6,16.5,122.9,7.2,3.5,3.7,low
71.0,96.6,36.2,13.6,140.1,9.8,4.6,4.0,low
94.5,95.8,36.7,17.4,112.6,6.7,0.6,9.6,low
82.1,99.8,36.8,15.4,108.6,4.0,1.4,6.2,low
90.8,96.5,36.8,19.0,119.1,8.7,2.6,3.5,low
64.1,96.7,36.6,17.8,120.0,9.1,0.6,1.5,low
58.7,96.6,37.3,9.4,138.4,8.8,0.8,2.7,low
87.2,97.7,36.6,18.3,125.2,2.4,1.7,4.5,low
58.8,97.9,36.6,14.1,125.9,7.9,0.7,6.2,low
99.8,99.4,36.9,14.6,133.0,6.8,7.2,2.5,low
99.3,94.5,36.9,20.1,126.1,2.1,0.1,3.6,low
74.8,96.0,36.2,17.0,110.9,9.3,1.0,4.3,low
84.0,95.7,37.8,25.2,142.4,11.2,9.9,0.4,moderate
109.5,95.8,37.3,15.8,163.6,11.2,9.5,5.8,high
81.8,95.9,36.1,19.4,130.6,4.4,1.9,9.2,low
84.6,100.0,36.3,19.7,134.2,11.5,5.8,4.4,low
91.7,96.7,37.7,15.6,143.4,11.5,8.9,4.2,low
71.3,97.9,36.6,18.1,135.2,7.9,1.9,3.3,low
71.3,98.4,37.2,10.7,123.8,10.4,3.3,6.9,low
81.9,91.9,36.2,12.9,107.6,6.3,0.4,1.3,moderate
109.3,97.0,36.3,27.1,151.3,2.0,7.3,9.7,critical
83.6,98.2,36.4,12.6,137.5,6.2,3.0,3.3,low
57.8,95.3,36.9,17.3,136.8,8.6,0.8,5.4,low
59.1,98.6,37.1,18.4,120.4,11.5,0.4,2.7,low
84.1,96.9,37.0,19.7,141.5,7.1,3.7,9.3,low
82.8,98.2,36.5,20.1,116.1,11.2,6.9,7.3,low
80.7,97.9,37.8,19.6,149.4,11.8,8.6,7.0,low
74.8,99.5,36.6,19.1,129.3,5.8,1.6,7.9,low
88.7,95.7,36.3,23.9,127.8,10.2,5.5,9.7,low
83.7,96.4,36.3,16.6,147.3,3.8,8.0,5.5,moderate
83.1,99.4,36.7,14.9,121.7,10.0,2.5,6.2,low
87.5,94.0,37.2,13.4,111.8,7.5,2.9,3.1,low
73.5,94.8,37.2,15.5,113.4,9.8,2.9,4.3,low
70.2,98.0,37.5,15.9,125.0,11.4,6.4,6.7,low
92.9,95.7,36.2,21.0,109.9,4.8,4.3,9.8,low
74.1,93.7,36.4,16.1,111.3,9.4,7.0,4.2,low
103.4,94.2,36.8,21.4,126.6,4.9,6.6,9.7,moderate
93.1,99.0,35.9,20.0,135.3,8.0,6.2,6.5,low
82.0,98.1,37.2,21.6,130.9,10.7,9.5,1.1,low
84.4,96.5,36.6,12.9,129.5,9.0,6.8,4.1,low
80.0,97.0,36.5,16.7,115.6,10.4,1.9,6.7,low
91.8,96.0,36.6,15.7,138.8,11.1,4.3,2.6,low
100.3,97.6,36.7,16.1,126.9,4.4,7.1,0.9,high
92.9,96.4,37.4,19.1,126.1,4.7,2.5,0.6,low
101.2,98.0,36.4,22.9,156.6,10.2,9.3,5.4,high
76.5,98.5,35.7,16.9,129.7,7.2,0.7,3.7,low
86.7,94.3,37.2,17.1,157.9,8.7,7.9,4.5,moderate
96.6,92.3,36.4,22.2,138.5,6.4,6.5,9.4,moderate
93.9,94.5,37.3,18.8,140.3,3.1,7.6,4.1,moderate
83.2,97.3,36.3,18.1,117.1,2.7,1.9,6.6,low
66.1,94.3,36.0,17.8,129.5,4.5,5.2,5.4,low
104.5,93.0,37.4,25.2,157.6,5.1,9.1,9.5,critical
66.3,98.0,36.8,20.4,127.3,7.0,1.9,8.6,low
70.6,98.1,36.2,19.3,128.0,6.4,6.1,1.6,low
96.6,95.6,36.0,16.0,121.8,3.6,0.8,0.2,low
78.9,95.8,36.3,15.0,127.8,7.2,6.1,2.5,low
79.5,100.0,36.8,13.4,126.4,7.6,4.2,4.3,low
94.1,100.0,36.7,16.7,116.0,7.0,4.1,8.7,low
81.4,98.7,36.7,18.8,120.4,3.4,6.9,2.1,moderate
82.0,95.0,37.6,20.7,106.8,6.2,0.2,7.9,low
103.3,97.7,37.0,19.5,159.7,2.1,7.2,5.4,critical
92.9,96.4,36.8,22.0,135.3,5.3,7.9,4.5,moderate
88.1,98.7,35.9,18.2,146.6,10.0,9.0,2.0,low
79.4,95.6,36.3,14.6,136.0,5.8,8.0,4.3,moderate
80.0,98.3,36.3,17.6,133.3,6.6,7.2,6.6,low
102.6,97.8,37.2,20.6,122.6,10.0,7.7,5.5,moderate
85.0,95.9,36.5,18.9,132.8,8.7,6.2,7.4,low
95.8,97.6,37.8,21.9,134.4,11.1,7.6,6.0,low
62.8,94.8,36.2,14.9,103.1,9.2,2.7,2.0,low
77.6,96.0,37.2,14.8,133.7,11.1,5.1,1.9,low
91.4,97.3,37.1,14.5,121.9,4.7,6.9,2.6,moderate
72.7,98.2,37.3,20.1,144.6,3.9,6.9,2.2,moderate
86.0,95.0,35.6,17.6,105.7,3.9,0.9,7.0,low
97.9,96.4,36.5,20.9,132.0,2.4,6.7,3.2,moderate
107.4,98.5,37.4,19.0,155.2,2.9,10.0,3.3,critical
71.9,97.9,36.0,21.1,147.1,2.2,3.6,7.8,low
106.0,100.0,37.4,21.4,163.2,2.4,8.4,6.2,critical
121.8,95.7,36.4,20.4,157.9,7.8,9.9,7.6,high
76.6,98.3,37.0,14.2,121.5,11.3,3.4,5.3,low
89.3,96.7,36.8,13.9,143.8,6.5,6.7,6.8,low
85.8,99.5,37.4,17.7,109.4,8.5,2.8,1.6,low
99.6,99.0,37.2,21.9,118.3,6.6,6.7,8.4,low
105.6,97.8,36.5,21.3,138.9,6.0,1.5,5.7,low
66.9,96.7,37.1,16.8,124.0,5.5,0.5,0.3,low
118.7,97.3,36.6,26.5,137.8,4.1,8.6,8.9,critical
93.7,96.2,37.2,19.6,117.8,12.0,0.3,9.0,low
110.3,96.0,36.7,23.7,139.3,2.7,9.8,8.2,critical
58.9,96.1,36.3,19.3,109.1,4.7,1.0,1.7,low
72.5,96.1,36.7,18.6,120.1,3.3,2.6,3.6,low
73.6,95.9,37.3,20.9,129.0,3.5,3.4,8.6,low
64.4,96.8,35.7,15.8,110.0,7.1,1.4,6.2,low
79.3,92.4,37.2,24.1,152.9,5.1,8.2,0.6,critical
81.8,96.4,37.0,15.9,103.1,10.6,3.1,5.4,low
70.8,99.1,36.5,19.2,113.7,9.4,4.9,4.8,low
55.4,100.0,37.4,22.7,118.1,9.6,1.3,2.0,low
70.8,97.8,36.0,17.8,115.1,4.3,5.5,3.7,low
87.6,94.8,37.0,23.5,138.1,3.8,8.3,2.9,high
79.0,97.9,36.9,13.1,111.8,5.7,0.9,5.6,low
68.2,98.1,37.2,14.1,125.5,10.7,2.5,2.6,low
83.3,96.9,36.3,13.8,119.2,6.6,3.5,0.9,low
96.9,91.5,36.6,17.0,152.3,6.7,7.6,1.5,high
69.0,94.8,37.8,16.7,120.3,10.3,1.7,0.3,low
83.9,92.8,37.5,15.1,123.4,7.0,0.5,0.3,moderate
85.7,95.2,36.2,15.7,145.7,2.2,4.5,2.4,low
82.7,95.5,37.2,20.6,157.2,5.9,7.5,1.3,moderate
90.3,97.3,36.2,12.4,126.1,11.3,3.9,0.7,low
83.6,98.7,36.5,14.6,139.5,4.7,6.1,6.8,moderate
108.6,99.1,36.5,16.9,147.2,4.8,9.6,0.1,high
78.9,97.6,36.5,19.9,107.8,4.6,3.4,8.3,low
86.4,97.0,38.1,20.3,164.0,3.5,9.7,4.5,critical
112.8,94.5,37.9,25.2,141.4,7.8,9.0,8.2,high
84.4,98.8,36.8,18.6,134.5,11.0,9.1,3.1,low
58.9,93.2,36.7,11.0,119.2,10.3,1.2,7.3,low
